,0
0,0.5000566893424037
1,0.5009920634920635
2,0.5046485260770975
3,0.5167800453514739
4,0.5190476190476191
5,0.5111111111111111
6,0.524858276643991
7,0.5284297052154195
8,0.5334467120181405
9,0.5317176870748299
10,0.5325396825396825
11,0.5331632653061225
12,0.5349773242630386
13,0.5352891156462585
14,0.5356859410430839
15,0.5373866213151928
16,0.5383503401360544
17,0.5366780045351474
18,0.537953514739229
19,0.5380102040816327
20,0.5394274376417234
21,0.5384070294784581
22,0.5378968253968254
23,0.5401077097505669
24,0.5401360544217687
25,0.5416666666666666
26,0.541156462585034
27,0.5431122448979592
28,0.5435090702947846
29,0.5427721088435374
30,0.5438492063492063
31,0.5473072562358277
32,0.5484410430839002
33,0.5495748299319728
34,0.5455215419501134
35,0.5481292517006803
36,0.5493197278911565
37,0.5492913832199546
38,0.5524659863945578
39,0.5518424036281179
40,0.5531746031746032
41,0.5532879818594104
42,0.5540249433106575
43,0.5555839002267574
44,0.5574829931972789
45,0.5569444444444445
46,0.5572562358276644
47,0.5514455782312925
48,0.5555839002267574
49,0.5604591836734694
50,0.5590986394557823
51,0.5633219954648526
52,0.5610827664399093
53,0.560204081632653
54,0.5662698412698413
55,0.5653061224489796
56,0.5670351473922902
57,0.5688492063492063
58,0.5713718820861678
59,0.5725907029478458
60,0.5702947845804989
61,0.5726190476190476
62,0.5742063492063492
63,0.5731009070294785
64,0.5691609977324263
65,0.5788548752834467
66,0.5798185941043084
67,0.5806122448979592
68,0.578202947845805
69,0.586139455782313
70,0.5827097505668934
71,0.5893140589569161
72,0.5847505668934241
73,0.5744331065759637
74,0.590391156462585
75,0.5961451247165533
76,0.5926587301587302
77,0.5954648526077098
78,0.5787414965986395
79,0.5918083900226757
80,0.5992063492063492
81,0.6029478458049886
82,0.6046201814058957
83,0.6029195011337869
84,0.609297052154195
85,0.6091836734693877
86,0.605498866213152
87,0.6060374149659864
88,0.6144557823129252
89,0.6114512471655329
90,0.6128684807256236
91,0.6204081632653061
92,0.6187925170068027
93,0.6211734693877551
94,0.6175453514739229
95,0.6247165532879818
96,0.6308673469387756
97,0.6237528344671202
98,0.6247165532879818
99,0.6281179138321995
100,0.6369897959183674
101,0.6397108843537415
102,0.6446712018140589
103,0.6474773242630385
104,0.6359977324263039
105,0.6408446712018141
106,0.6520691609977324
107,0.6550170068027211
108,0.6594954648526077
109,0.6551587301587302
110,0.662641723356009
111,0.6676303854875284
112,0.6736111111111112
113,0.691468253968254
114,0.6973922902494331
115,0.7171201814058957
116,0.7247732426303855
117,0.733531746031746
118,0.7296768707482993
119,0.7304421768707483
120,0.7334183673469388
121,0.7438492063492064
122,0.7490079365079365
123,0.7365646258503401
124,0.7537981859410431
125,0.7506235827664399
126,0.7515589569160998
127,0.7524092970521542
128,0.7773809523809524
129,0.7837585034013606
130,0.7653061224489796
131,0.7781179138321995
132,0.782171201814059
133,0.7903344671201814
134,0.8028628117913832
135,0.802749433106576
136,0.8129251700680272
137,0.8128968253968254
138,0.8140306122448979
139,0.8108276643990929
140,0.8253401360544218
141,0.8171201814058957
142,0.8192743764172336
143,0.8316043083900226
144,0.8007086167800453
145,0.7961451247165533
146,0.8294784580498866
147,0.832936507936508
148,0.8073696145124717
149,0.8151643990929706
150,0.814484126984127
151,0.8367063492063492
152,0.839172335600907
153,0.8436791383219955
154,0.8518990929705216
155,0.823327664399093
156,0.846655328798186
157,0.8477891156462585
158,0.8331916099773242
159,0.843452380952381
160,0.8572845804988662
161,0.8605725623582766
162,0.8582766439909297
163,0.8530045351473923
164,0.8556972789115647
165,0.8351757369614512
166,0.8459467120181405
167,0.8647108843537415
168,0.8606575963718821
169,0.8635487528344671
170,0.8651927437641723
171,0.8651927437641723
172,0.8671201814058956
173,0.8647392290249433
174,0.8688492063492064
175,0.8514455782312925
176,0.8473072562358277
177,0.8567460317460317
178,0.8613378684807256
179,0.8675736961451247
180,0.8638038548752834
181,0.8667800453514739
182,0.8713151927437641
183,0.8419784580498866
184,0.8604875283446712
185,0.8641439909297052
186,0.8640589569160998
187,0.8745181405895691
188,0.8729591836734694
189,0.8757936507936508
190,0.8785997732426304
191,0.8734410430839002
192,0.8752551020408164
193,0.8788265306122449
194,0.8810090702947846
195,0.8729591836734694
196,0.8767573696145124
197,0.8746031746031746
198,0.8769557823129251
199,0.8717403628117913
200,0.8718253968253968
201,0.8775510204081632
202,0.877295918367347
203,0.8783163265306122
204,0.8831065759637188
205,0.8802721088435375
206,0.8683106575963719
207,0.8795351473922902
208,0.8839569160997732
209,0.8784297052154195
210,0.8805555555555555
211,0.8853741496598639
212,0.8854024943310658
213,0.8799036281179138
214,0.8828514739229025
215,0.8753968253968254
216,0.8864512471655329
217,0.8850907029478458
218,0.8881519274376417
219,0.8901927437641723
220,0.8872165532879819
221,0.8867630385487528
222,0.8894274376417234
223,0.8850056689342404
224,0.8864795918367347
225,0.8902777777777777
226,0.8853174603174603
227,0.8886904761904761
228,0.8877267573696145
229,0.8844104308390023
230,0.8876700680272109
231,0.8910997732426303
232,0.8882369614512472
233,0.8892006802721089
234,0.884608843537415
235,0.8780895691609978
236,0.879421768707483
237,0.8921485260770975
238,0.8921485260770975
239,0.8846655328798186
240,0.8894557823129252
241,0.8921201814058957
242,0.8892857142857142
243,0.8835034013605442
244,0.8905045351473923
245,0.883531746031746
246,0.8880102040816327
247,0.8880385487528345
248,0.8850056689342404
249,0.8929988662131519
